subject,predicate,object
time:Instant,time:inXSDgYear,xsd:gYear
usgs:Beach,rdfs:subClassOf,usgs:Terrain
kwg-ont:Earthquake,rdfs:subClassOf,sosa:FeatureOfInterest
kwg-ont:FederalJudicalDistrict,kwg-ont:hasName,rdfs:literal
kwg-ont:FederalJudicalDistrict,sosa:hasABBR,rdfs:literal
kwg-ont:NOAAHazardEvent,kwg-ont:hasSegment,kwg-ont:EventSegment
kwg-ont:DroughtIntensity,kwg-ont:hasCode,rdfs:literal
kwg-ont:DroughtIntensity,rdfs:label,rdfs:literal
kwg-ont:NIFCFire,kwg-ont:hasFireCause,kwg-ont:FireCause
time:Instant,time:inXSDDate,xsd:dateTime
usgs:Crater,rdfs:subClassOf,usgs:Basin
kwg-ont:BlueskyModeledWildfire,kwg-ont:hasTemporalScope,time:Instant
kwg-ont:SoilMapUnitObservationCollection,sosa:hasMember,kwg-ont:SoilMapUnitOverlapObservation
time:TemporalEntity,time:inXSDDateTime,xsd:dateTime
kwg-ont:DroughtZone,geo:hasGeometry,geo:Geometry
kwg-ont:DroughtZone,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:SmokePlumeSnapshot,rdfs:subClassOf,kwg-ont:Hazard
kwg-ont:JudgeInfo,kwg-ont:hasChiefJudge,kwg-ont:ChiefJudge
kwgr:blueskyObservableProperty.PM10ModeledDailyEmission,rdfs:subClassOf,kwg-ont:BlueskyWildfireObservableProperty
kwgr:blueskyObservableProperty.PM25ModeledDailyEmission,rdfs:subClassOf,kwg-ont:BlueskyWildfireObservableProperty
kwgr:blueskyObservableProperty.modeledGrowthNumLocation,rdfs:subClassOf,kwg-ont:BlueskyWildfireObservableProperty
kwgr:blueskyObservableProperty.modeledGrowthArea,rdfs:subClassOf,kwg-ont:BlueskyWildfireObservableProperty
time:Interval,time:hasBeginning,time:Instant
time:Interval,time:hasEnd,time:Instant
geo:Geometry,rdfs:subClassOf,geo:SpatialObject
kwg-ont:NWZone,rdfs:label,rdfs:literal
usgs:SurfaceWater,rdfs:subClassOf,geo:SpatialObject
kwg-ont:AdministrativeRegion_2,kwg-ont:sfWithin,kwg-ont:AdministrativeRegion_1
gnis:State,rdfs:subClassOf,usgs:Division
kwg-ont:StormTrackObservationCollection,sosa:hasFeatureOfInterest,kwg-ont:StormTrack
kwg-ont:BlueskyWildfireObservation,sosa:observedProperty,kwg-ont:BlueskyWildfireObservableProperty
kwg-ont:ImpactObservation,sosa:hasSimpleResult,rdfs:literal
kwg-ont:USClimateDivision,kwg-ont:climateDivisionFIPS,rdfs:literal
kwg-ont:USClimateDivision,kwg-ont:climateDivisionNumber,rdfs:literal
kwg-ont:USClimateDivision,kwg-ont:climateDivisionName,rdfs:literal
kwg-ont:USClimateDivision,kwg-ont:climateDivisionNCDC_GEO,rdfs:literal
usgs:Feature,gnis:elevation,qudt:Quantity
kwg-ont:Hospital,kwg-ont:traumaCareLevel,kwg-ont:TraumaCareLevel
sosa:EarthquakeObservation,sosa:hasSimpleResult,rdfs:literal
kwg-ont:AdministrativeRegion_0,rdfs:subClassOf,kwg-ont:AdministrativeRegion
kwg-ont:Program,kwg-ont:hasDisasterNumber,rdfs:literal
kwg-ont:Program,kwg-ont:hasProgramDescription,rdfs:literal
kwg-ont:Program,kwg-ont:hasProgramID,rdfs:literal
kwg-ont:AirQualityObservationCollection,sosa:madeBySensor,kwg-ont:AirQualityInstrument
kwg-ont:NOAAHail,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAThunderstormWind,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAATornado,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAHeavySnow,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAHeavyRain,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAExtremeColdWindChill,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAWaterspout,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAFunnelCloud,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAARipCurrent,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAAvalanche,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAHighWind,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAIceStorm,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAABlizzard,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAHighSurf,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAFlood,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAADrought,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAWinterStorm,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAWinterWeather,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAADenseFog,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAFlashFlood,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAStormSurgeTide,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAADustStorm,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAStrongWind,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAExcessiveHeat,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAALightning,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAADebrisFlow,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAFrostFreeze,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAASleet,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAALake-EffectSnow,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAColdWindChill,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAHeat,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAADustDevil,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAATropicalStorm,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineThunderstormWind,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAFreezingFog,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineHail,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAACoastalFlood,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineHighWind,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAAstronomicalLowTide,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineStrongWind,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAASneakerwave,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAALakeshoreFlood,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAATropicalDepression,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineTropicalStorm,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAADenseSmoke,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineHurricaneTyphoon,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAMarineTropicalDepression,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:NOAAHurricane,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:FEMADisaster,kwg-ont:amountApproved_HA,rdfs:literal
kwg-ont:FEMADisaster,kwg-ont:amountApproved_IHP,rdfs:literal
kwg-ont:FEMADisaster,kwg-ont:amountApproved_ONA,rdfs:literal
kwg-ont:Cell,rdfs:subClassOf,geo:SpatialObject
kwg-ont:CensusACS5YearEstimatesObservationCollection,sosa:hasFeatureOfInterest,kwg-ont:USCensusMSA
kwg-ont:MTBSFireObservationCollection,kwg-ont:hasMappingProgram,kwg-ont:MappingProgram
kwg-ont:SmokePlumeObservation,sosa:hasSimpleResult,rdfs:literal
usgs:Feature,rdfs:label,xsd:string
usgs:Feature,gnis:featureId,xsd:string
usgs:Feature,gnis:mapName,xsd:string
usgs:Feature,gnis:dateFeatureCreated,xsd:string
usgs:Feature,gnis:officialName,xsd:string
usgs:Feature,gnis:citation,xsd:string
usgs:Feature,gnis:dateNameCreated,xsd:string
usgs:Feature,gnis:description,xsd:string
usgs:Feature,gnis:alternativeName,xsd:string
usgs:Feature,gnis:history,xsd:string
kwg-ont:Earthquake,rdfs:subClassOf,kwg-ont:Hazard
kwg-ont:CensusACS5YearEstimatesObservation,sosa:observedProperty,kwg-ont:CensusObservableProperty
kwg-ont:AirQualityObservationCollection,sosa:hasMember,kwg-ont:AirQualityObservation
gnis:County,gnis:countyId,xsd:string
gnis:County,gnis:countyCode,xsd:string
gnis:County,gnis:countyName,xsd:string
kwg-ont:Fix,kwg-ont:hasAzimuth,rdfs:literal
kwg-ont:Fix,kwg-ont:hasRange,rdfs:literal
kwg-ont:DroughtZoneOverlapObservation,sosa:hasSimpleResult,rdfs:literal
kwg-ont:CroplandResult,qudt:unit,qudt:Unit
kwg-ont:VulnerabilityObservation,sosa:observedProperty,kwg-ont:VulnerabilityObservableProperty
kwg-ont:AdministrativeRegion_6,kwg-ont:sfWithin,kwg-ont:AdministrativeRegion_5
kwg-ont:MagnitudeObservation,sosa:hasSimpleResult,rdfs:literal
kwg-ont:MagnitudeObservationCollection,sosa:hasSimpleResult,rdfs:literal
usgs:Feature,kwg-ont:spatialRelation,kwg-ont:S2Cell
kwg-ont:AdministrativeRegion_3,kwg-ont:sfWithin,kwg-ont:AdministrativeRegion_2
