subject,predicate,object
coress-ont:Agent,coress-ont:hasFamilyName,xsd:string
coress-ont:Agent,coress-ont:hasFirstName,xsd:string
coress-ont:Agent,coress-ont:hasEmailAddress,xsd:string
coress-ont:Agent,coress-ont:hasPhoneNumber,xsd:string
coress-ont:Agent,coress-ont:performsRole,coress-ont:Role
coress-ont:Agent,coress-ont:worksInDepartment,coress-ont:Department
coress-ont:Author,coress-ont:advisedBy,xsd:string
coress-ont:Author,coress-ont:submits,coress-ont:Publication
coress-ont:Author,rdfs:subClassOf,coress-ont:Role
coress-ont:College,coress-ont:collegeOf,coress-ont:University
coress-ont:Department,coress-ont:departmentOf,coress-ont:College
coress-ont:Publication,coress-ont:hasArticleNumber,xsd:int
coress-ont:Publication,coress-ont:dateOfSubmission,xsd:date
coress-ont:Publication,coress-ont:hasDOI,xsd:string
coress-ont:Publication,coress-ont:hasTitle,xsd:string
coress-ont:Publication,coress-ont:contributionBy,xsd:string
coress-ont:Publication,coress-ont:hasAbstract,xsd:string
coress-ont:Publication,coress-ont:associatedFieldOfStudy,xsd:string
coress-ont:Publication,coress-ont:submittedBy,coress-ont:Author
coress-ont:Publication,coress-ont:dateOfPost,xsd:date
coress-ont:Publication,coress-ont:hasIssueNumber,xsd:int
coress-ont:Publication,coress-ont:hasPublicationType,xsd:string
coress-ont:Publication,coress-ont:dateOfPublication,xsd:date
coress-ont:Publication,coress-ont:hasAdvisor,xsd:string
coress-ont:Publication,coress-ont:publicationState,xsd:string
coress-ont:Publication,coress-ont:hasVolumeNumber,xsd:int
coress-ont:Publication,coress-ont:dateOfPublicationStateChange,xsd:date
coress-ont:Role,coress-ont:advisedBy,xsd:string
coress-ont:University,coress-ont:atState,xsd:string
coress-ont:University,coress-ont:atCity,xsd:string
