subject,predicate,object
coresr-ont:Abstract,coresr-ont:hasDescription,xsd:string
coresr-ont:AcademicConcentration,rdfs:subClassOf,coresr-ont:FieldOfStudy
coresr-ont:Advisor,rdfs:subClassOf,coresr-ont:Role
coresr-ont:Agent,coresr-ont:associatedWith,coresr-ont:Department
coresr-ont:Agent,coresr-ont:hasContactInformation,coresr-ont:ContactInformation
coresr-ont:Agent,coresr-ont:performsRole,coresr-ont:Role
coresr-ont:Article,coresr-ont:hasNumericIdentifier,xsd:int
coresr-ont:Author,coresr-ont:advisedBy,coresr-ont:Advisor
coresr-ont:Author,rdfs:subClassOf,coresr-ont:Role
coresr-ont:College,coresr-ont:partOf,coresr-ont:University
coresr-ont:Contributor,coresr-ont:contributedTo,coresr-ont:Publication
coresr-ont:Contributor,rdfs:subClassOf,coresr-ont:Role
coresr-ont:DOI,coresr-ont:doiAsString,xsd:string
coresr-ont:Department,coresr-ont:partOf,coresr-ont:College
coresr-ont:Discipline,rdfs:subClassOf,coresr-ont:FieldOfStudy
coresr-ont:EmailAddress,rdfs:subClassOf,coresr-ont:ContactInformation
coresr-ont:FamilyName,coresr-ont:nameAsString,xsd:string
coresr-ont:FamilyName,rdfs:subClassOf,coresr-ont:Name
coresr-ont:FirstName,coresr-ont:nameAsString,xsd:string
coresr-ont:FirstName,rdfs:subClassOf,coresr-ont:Name
coresr-ont:Issue,coresr-ont:issueNumber,xsd:int
coresr-ont:Location,coresr-ont:atState,coresr-ont:State
coresr-ont:Location,rdfs:subClassOf,coresr-ont:SpatialExtent
coresr-ont:Name,rdfs:subClassOf,coresr-ont:ContactInformation
coresr-ont:PeriodicalLiterature,coresr-ont:hasIssue,coresr-ont:Issue
coresr-ont:PeriodicalLiterature,coresr-ont:hasVolume,coresr-ont:Volume
coresr-ont:PeriodicalLiterature,rdfs:subClassOf,coresr-ont:Article
coresr-ont:PhoneNumber,rdfs:subClassOf,coresr-ont:ContactInformation
coresr-ont:ProcessState,coresr-ont:atTime,xsd:date
coresr-ont:ProcessState,coresr-ont:stateAsString,xsd:string
coresr-ont:Publication,coresr-ont:associatedFieldOfStudy,coresr-ont:FieldOfStudy
coresr-ont:Publication,coresr-ont:dateOfPost,xsd:date
coresr-ont:Publication,coresr-ont:dateOfPublication,xsd:date
coresr-ont:Publication,coresr-ont:dateOfSubmission,xsd:date
coresr-ont:Publication,coresr-ont:hasAbstract,coresr-ont:Abstract
coresr-ont:Publication,coresr-ont:hasIdentifier,coresr-ont:DOI
coresr-ont:Publication,coresr-ont:hasPublicationType,coresr-ont:PublicationType
coresr-ont:Publication,coresr-ont:hasTitle,xsd:string
coresr-ont:Publication,coresr-ont:partOf,coresr-ont:Article
coresr-ont:Publication,coresr-ont:publicationState,coresr-ont:ProcessState
coresr-ont:Publication,coresr-ont:submittedBy,coresr-ont:Author
coresr-ont:PublicationType,coresr-ont:typeAsString,xsd:string
coresr-ont:State,coresr-ont:inCity,coresr-ont:City
coresr-ont:University,coresr-ont:locatedAt,coresr-ont:Location
coresr-ont:Volume,coresr-ont:volumeNumber,xsd:int
